Iter 9200, task mwe, loss 1.2618551969528198, acc 0.82974, f1 0.09539, p 0.47581, r 0.05301
Iter 9200, task hyperlinks, loss 0.41689204176266986, acc 0.85249, f1 0.37613, p 0.71724, r 0.25490
Iter 9300, task mwe, loss 1.256473716100057, acc 0.83036, f1 0.08852, p 0.50467, r 0.04852
Iter 9300, task hyperlinks, loss 0.4193416138490041, acc 0.84531, f1 0.39667, p 0.61979, r 0.29167
Iter 9400, task mwe, loss 1.2485009511311849, acc 0.83020, f1 0.10585, p 0.49254, r 0.05930
Iter 9400, task hyperlinks, loss 0.4163155158360799, acc 0.85165, f1 0.38146, p 0.69935, r 0.26225
Iter 9500, task mwe, loss 1.2421784718831381, acc 0.82944, f1 0.09677, p 0.47244, r 0.05391
Iter 9500, task hyperlinks, loss 0.4179813861846924, acc 0.84996, f1 0.36066, p 0.70213, r 0.24265
Iter 9600, task mwe, loss 1.23626336256663, acc 0.83112, f1 0.09337, p 0.52778, r 0.05121
Iter 9600, task hyperlinks, loss 0.41746387879053753, acc 0.84615, f1 0.38356, p 0.63636, r 0.27451
Iter 9700, task mwe, loss 1.2301922559738159, acc 0.83097, f1 0.09446, p 0.50435, r 0.05211
Iter 9700, task hyperlinks, loss 0.4151596625645955, acc 0.85038, f1 0.38380, p 0.68125, r 0.26716
Iter 9800, task mwe, loss 1.2248894929885865, acc 0.83112, f1 0.09887, p 0.50413, r 0.05481
Iter 9800, task hyperlinks, loss 0.41745179891586304, acc 0.84869, f1 0.38261, p 0.65868, r 0.26961
Iter 9900, task mwe, loss 1.2200545867284138, acc 0.83158, f1 0.09337, p 0.52778, r 0.05121
Iter 9900, task hyperlinks, loss 0.41558557748794556, acc 0.84996, f1 0.37809, p 0.67722, r 0.26225
Iter 10000, task mwe, loss 1.2139390071233114, acc 0.83127, f1 0.09756, p 0.51282, r 0.05391
Iter 10000, task hyperlinks, loss 0.41615693767865497, acc 0.84742, f1 0.38908, p 0.64045, r 0.27941
Iter 10100, task mwe, loss 1.2085781733194987, acc 0.83158, f1 0.09609, p 0.51304, r 0.05301
Iter 10100, task hyperlinks, loss 0.4120713373025258, acc 0.85207, f1 0.37251, p 0.71034, r 0.25245
