Iter 6600, task hyperlinks, loss 0.5305780669053396, acc 0.84446, f1 0.37736, p 0.62857, r 0.26961
Iter 6700, task fnt, loss 0.5054676503904404, acc 0.77873, f1 0.31823, p 0.59345, r 0.21740
Iter 6700, task hyperlinks, loss 0.5250937938690186, acc 0.84827, f1 0.35636, p 0.69014, r 0.24020
Iter 6800, task fnt, loss 0.4997604912327182, acc 0.77940, f1 0.35868, p 0.57956, r 0.25970
Iter 6800, task hyperlinks, loss 0.525271604458491, acc 0.84700, f1 0.35209, p 0.67832, r 0.23775
Iter 6900, task fnt, loss 0.499784545552346, acc 0.77966, f1 0.34503, p 0.58630, r 0.24444
Iter 6900, task hyperlinks, loss 0.5220514933268229, acc 0.84869, f1 0.33459, p 0.71774, r 0.21814
Iter 7000, task fnt, loss 0.5011709524739173, acc 0.77992, f1 0.31723, p 0.60134, r 0.21544
Iter 7000, task hyperlinks, loss 0.5251547495524088, acc 0.84489, f1 0.37153, p 0.63690, r 0.26225
Iter 7100, task fnt, loss 0.49865317248529, acc 0.77976, f1 0.32407, p 0.59684, r 0.22242
Iter 7100, task hyperlinks, loss 0.5230012635389963, acc 0.84615, f1 0.36907, p 0.65217, r 0.25735
Iter 7200, task fnt, loss 0.49523607184810026, acc 0.77997, f1 0.33754, p 0.59148, r 0.23615
Iter 7200, task hyperlinks, loss 0.5244866708914439, acc 0.84150, f1 0.35088, p 0.61728, r 0.24510
Iter 7300, task fnt, loss 0.49137935138517813, acc 0.78059, f1 0.36010, p 0.58480, r 0.26014
Iter 7300, task hyperlinks, loss 0.5205515424410502, acc 0.84742, f1 0.35740, p 0.67808, r 0.24265
Iter 7400, task fnt, loss 0.49400071751686836, acc 0.78079, f1 0.32317, p 0.60346, r 0.22067
Iter 7400, task hyperlinks, loss 0.5182202756404877, acc 0.84996, f1 0.36298, p 0.69930, r 0.24510
Iter 7500, task fnt, loss 0.4870591807749964, acc 0.78100, f1 0.36938, p 0.58271, r 0.27039
Iter 7500, task hyperlinks, loss 0.5171129107475281, acc 0.84954, f1 0.35531, p 0.70290, r 0.23775
Iter 7600, task fnt, loss 0.4885809979131145, acc 0.78064, f1 0.33739, p 0.59471, r 0.23550
Iter 7600, task hyperlinks, loss 0.5165010591348013, acc 0.84911, f1 0.37743, p 0.67296, r 0.26225
Iter 7700, task fnt, loss 0.4837400134532682, acc 0.78110, f1 0.36221, p 0.58606, r 0.26210
Iter 7700, task hyperlinks, loss 0.5156191090742747, acc 0.85080, f1 0.38879, p 0.68098, r 0.27206
Iter 7800, task fnt, loss 0.4828707479661511, acc 0.78095, f1 0.35505, p 0.58829, r 0.25425
Iter 7800, task hyperlinks, loss 0.5200446049372355, acc 0.84404, f1 0.39469, p 0.61026, r 0.29167
Iter 7900, task fnt, loss 0.48178660292779246, acc 0.78069, f1 0.34904, p 0.58942, r 0.24793
Iter 7900, task hyperlinks, loss 0.5165481468041738, acc 0.84446, f1 0.38305, p 0.62088, r 0.27696
Iter 8000, task fnt, loss 0.48032671886105693, acc 0.78141, f1 0.35059, p 0.59334, r 0.24880
Iter 8000, task hyperlinks, loss 0.5142973363399506, acc 0.84615, f1 0.37063, p 0.64634, r 0.25980
Iter 8100, task fnt, loss 0.4787914599141767, acc 0.78146, f1 0.34945, p 0.59424, r 0.24749
Iter 8100, task hyperlinks, loss 0.5128275454044342, acc 0.84784, f1 0.36655, p 0.66883, r 0.25245
Iter 8200, task fnt, loss 0.4743293975630114, acc 0.78162, f1 0.38034, p 0.58143, r 0.28260
Iter 8200, task hyperlinks, loss 0.5138432780901591, acc 0.84489, f1 0.37088, p 0.63314, r 0.26225
Iter 8300, task fnt, loss 0.4748280596348547, acc 0.78157, f1 0.36116, p 0.58934, r 0.26036
Iter 8300, task hyperlinks, loss 0.5133749743302664, acc 0.84531, f1 0.37801, p 0.63218, r 0.26961
Iter 8400, task fnt, loss 0.4731107748323871, acc 0.78151, f1 0.36053, p 0.58931, r 0.25970
Iter 8400, task hyperlinks, loss 0.511133591334025, acc 0.84404, f1 0.39868, p 0.60804, r 0.29657
Iter 8500, task fnt, loss 0.475214542881135, acc 0.78126, f1 0.33297, p 0.60102, r 0.23027
Iter 8500, task hyperlinks, loss 0.5090267956256866, acc 0.84954, f1 0.39932, p 0.65730, r 0.28676
Iter 8600, task fnt, loss 0.4679211897234763, acc 0.78218, f1 0.37944, p 0.58466, r 0.28085
Iter 8600, task hyperlinks, loss 0.5071143011252085, acc 0.85165, f1 0.38801, p 0.69182, r 0.26961
Iter 8700, task fnt, loss 0.46879807595283757, acc 0.78182, f1 0.36157, p 0.59042, r 0.26058
Iter 8700, task hyperlinks, loss 0.5048565963904063, acc 0.85165, f1 0.36096, p 0.72593, r 0.24020
Iter 8800, task fnt, loss 0.4658741278033103, acc 0.78218, f1 0.37428, p 0.58687, r 0.27475
Iter 8800, task hyperlinks, loss 0.5070510804653168, acc 0.84700, f1 0.37847, p 0.64881, r 0.26716
Iter 8900, task fnt, loss 0.4665838643427818, acc 0.78260, f1 0.35909, p 0.59646, r 0.25687
Iter 8900, task hyperlinks, loss 0.5079017678896586, acc 0.84489, f1 0.39601, p 0.61658, r 0.29167
Iter 9000, task fnt, loss 0.4653446020618562, acc 0.78223, f1 0.35319, p 0.59709, r 0.25076
Iter 9000, task hyperlinks, loss 0.5061315397421519, acc 0.84573, f1 0.40331, p 0.61929, r 0.29902
Iter 9100, task fnt, loss 0.46132861702672895, acc 0.78218, f1 0.37353, p 0.58719, r 0.27388
Iter 9100, task hyperlinks, loss 0.5043442050615946, acc 0.84700, f1 0.39116, p 0.63889, r 0.28186
Iter 9200, task fnt, loss 0.46009006807881014, acc 0.78239, f1 0.37580, p 0.58739, r 0.27628
Iter 9200, task hyperlinks, loss 0.5015945434570312, acc 0.85038, f1 0.37722, p 0.68831, r 0.25980
Iter 9300, task fnt, loss 0.45718397152039314, acc 0.78249, f1 0.38665, p 0.58337, r 0.28914
Iter 9300, task hyperlinks, loss 0.5019326706727346, acc 0.84827, f1 0.38687, p 0.65497, r 0.27451
Iter 9400, task fnt, loss 0.45954840413985715, acc 0.78234, f1 0.35429, p 0.59721, r 0.25185
Iter 9400, task hyperlinks, loss 0.5013808906078339, acc 0.84996, f1 0.37433, p 0.68627, r 0.25735
Iter 9500, task fnt, loss 0.45572682446049106, acc 0.78218, f1 0.37520, p 0.58646, r 0.27584
Iter 9500, task hyperlinks, loss 0.5015681584676107, acc 0.84911, f1 0.39033, p 0.66082, r 0.27696
Iter 9600, task fnt, loss 0.45554280088793847, acc 0.78193, f1 0.36705, p 0.58855, r 0.26668
Iter 9600, task hyperlinks, loss 0.500461220741272, acc 0.84911, f1 0.40271, p 0.65027, r 0.29167
Iter 9700, task fnt, loss 0.4528539257664834, acc 0.78198, f1 0.37738, p 0.58436, r 0.27867
Iter 9700, task hyperlinks, loss 0.49979419509569806, acc 0.84869, f1 0.41000, p 0.64062, r 0.30147
Iter 9800, task fnt, loss 0.4527241510729636, acc 0.78254, f1 0.36771, p 0.59197, r 0.26668
Iter 9800, task hyperlinks, loss 0.49944018324216205, acc 0.84827, f1 0.41708, p 0.63184, r 0.31127
Iter 9900, task fnt, loss 0.44875782535922143, acc 0.78378, f1 0.39144, p 0.58836, r 0.29328
Iter 9900, task hyperlinks, loss 0.49520288904507953, acc 0.85334, f1 0.40348, p 0.69461, r 0.28431
Iter 10000, task fnt, loss 0.4518690013116406, acc 0.78254, f1 0.34967, p 0.60064, r 0.24662
Iter 10000, task hyperlinks, loss 0.4967672924200694, acc 0.84869, f1 0.40000, p 0.64835, r 0.28922
Iter 10100, task fnt, loss 0.4501282716951063, acc 0.78239, f1 0.35528, p 0.59671, r 0.25294
Iter 10100, task hyperlinks, loss 0.5008787910143534, acc 0.84489, f1 0.43546, p 0.59574, r 0.34314
Iter 10200, task fnt, loss 0.4432222064464323, acc 0.78502, f1 0.40763, p 0.58768, r 0.31204
Iter 10200, task hyperlinks, loss 0.4946088989575704, acc 0.85207, f1 0.42333, p 0.66146, r 0.31127
Iter 10300, task fnt, loss 0.44506544451559743, acc 0.78296, f1 0.36728, p 0.59405, r 0.26581
Iter 10300, task hyperlinks, loss 0.49552398920059204, acc 0.85038, f1 0.42053, p 0.64796, r 0.31127
Iter 10400, task fnt, loss 0.4424570327804935, acc 0.78342, f1 0.38201, p 0.59025, r 0.28238
Iter 10400, task hyperlinks, loss 0.4930853346983592, acc 0.85334, f1 0.40555, p 0.69231, r 0.28676
Iter 10500, task fnt, loss 0.4414501026753456, acc 0.78321, f1 0.38026, p 0.58956, r 0.28064
Iter 10500, task hyperlinks, loss 0.49033354719479877, acc 0.85461, f1 0.41581, p 0.69540, r 0.29657
Iter 10600, task fnt, loss 0.43988546152268687, acc 0.78342, f1 0.38049, p 0.59064, r 0.28064
Iter 10600, task hyperlinks, loss 0.4908435344696045, acc 0.85292, f1 0.39007, p 0.70513, r 0.26961
Iter 10700, task fnt, loss 0.43810413249077335, acc 0.78440, f1 0.39024, p 0.59176, r 0.29110
Iter 10700, task hyperlinks, loss 0.49052202701568604, acc 0.85334, f1 0.42353, p 0.67380, r 0.30882
Iter 10800, task fnt, loss 0.4374872503742095, acc 0.78357, f1 0.37974, p 0.59187, r 0.27955
Iter 10800, task hyperlinks, loss 0.48862797021865845, acc 0.85545, f1 0.39643, p 0.73026, r 0.27206
Iter 10900, task fnt, loss 0.4354758656794025, acc 0.78352, f1 0.38713, p 0.58826, r 0.28849
Iter 10900, task hyperlinks, loss 0.49353086948394775, acc 0.84658, f1 0.43994, p 0.60515, r 0.34559
Iter 11000, task fnt, loss 0.4326173451638991, acc 0.78429, f1 0.40422, p 0.58512, r 0.30877
Iter 11000, task hyperlinks, loss 0.4893275002638499, acc 0.85334, f1 0.41766, p 0.67956, r 0.30147
Iter 11100, task fnt, loss 0.43461947575692206, acc 0.78342, f1 0.37289, p 0.59418, r 0.27170
Iter 11100, task hyperlinks, loss 0.4878060022989909, acc 0.85461, f1 0.41781, p 0.69318, r 0.29902
Iter 11200, task fnt, loss 0.42976865556932264, acc 0.78517, f1 0.41077, p 0.58688, r 0.31596
Iter 11200, task hyperlinks, loss 0.4866974155108134, acc 0.85418, f1 0.43072, p 0.67539, r 0.31618
Iter 11300, task fnt, loss 0.43326937960040185, acc 0.78357, f1 0.36890, p 0.59707, r 0.26690
Iter 11300, task hyperlinks, loss 0.48742641011873883, acc 0.85376, f1 0.42424, p 0.67742, r 0.30882
Iter 11400, task fnt, loss 0.42999727399118487, acc 0.78383, f1 0.38512, p 0.59089, r 0.28565
Iter 11400, task hyperlinks, loss 0.48705704013506573, acc 0.85376, f1 0.42617, p 0.67553, r 0.31127
Iter 11500, task fnt, loss 0.42757945483730686, acc 0.78481, f1 0.39670, p 0.59111, r 0.29852
Iter 11500, task hyperlinks, loss 0.48459086815516156, acc 0.85714, f1 0.44147, p 0.69474, r 0.32353
Iter 11600, task fnt, loss 0.4234540500948506, acc 0.78563, f1 0.42325, p 0.58404, r 0.33188
Iter 11600, task hyperlinks, loss 0.4843887488047282, acc 0.85545, f1 0.40071, p 0.72436, r 0.27696
Iter 11700, task fnt, loss 0.42756942972060175, acc 0.78419, f1 0.37522, p 0.59771, r 0.27344
Iter 11700, task hyperlinks, loss 0.48504384358723956, acc 0.84784, f1 0.42765, p 0.62150, r 0.32598
Iter 11800, task fnt, loss 0.4243647052395728, acc 0.78502, f1 0.39412, p 0.59342, r 0.29503
Iter 11800, task hyperlinks, loss 0.4831911822160085, acc 0.85587, f1 0.42589, p 0.69832, r 0.30637
Iter 11900, task fnt, loss 0.42404992638095734, acc 0.78507, f1 0.39169, p 0.59485, r 0.29198
Iter 11900, task hyperlinks, loss 0.48273037870724994, acc 0.84954, f1 0.42857, p 0.63462, r 0.32353
Iter 12000, task fnt, loss 0.4243272033429915, acc 0.78419, f1 0.37765, p 0.59652, r 0.27628
Iter 12000, task hyperlinks, loss 0.48202470938364667, acc 0.85123, f1 0.42763, p 0.65000, r 0.31863
Iter 12100, task fnt, loss 0.4203439191464455, acc 0.78527, f1 0.40000, p 0.59213, r 0.30201
Iter 12100, task hyperlinks, loss 0.48109474778175354, acc 0.85672, f1 0.42930, p 0.70391, r 0.30882
Iter 12200, task fnt, loss 0.41894247551118174, acc 0.78512, f1 0.40634, p 0.58850, r 0.31029
Iter 12200, task hyperlinks, loss 0.4794740676879883, acc 0.85757, f1 0.41885, p 0.72727, r 0.29412
Iter 12300, task fnt, loss 0.41657275634427227, acc 0.78512, f1 0.41667, p 0.58419, r 0.32381
Iter 12300, task hyperlinks, loss 0.4791770776112874, acc 0.85714, f1 0.40143, p 0.74667, r 0.27451
Iter 12400, task fnt, loss 0.4160844010691489, acc 0.78574, f1 0.41108, p 0.58965, r 0.31553
Iter 12400, task hyperlinks, loss 0.4768763879934947, acc 0.85545, f1 0.43667, p 0.68229, r 0.32108
Iter 12500, task fnt, loss 0.4148539266278667, acc 0.78599, f1 0.41520, p 0.58918, r 0.32054
Iter 12500, task hyperlinks, loss 0.47726841767628986, acc 0.85334, f1 0.42546, p 0.67196, r 0.31127
Iter 12600, task fnt, loss 0.4120316938046486, acc 0.78486, f1 0.43183, p 0.57716, r 0.34496
Iter 12600, task hyperlinks, loss 0.47829065720240277, acc 0.85080, f1 0.42123, p 0.65128, r 0.31127
Iter 12700, task fnt, loss 0.41273794539513126, acc 0.78605, f1 0.41608, p 0.58906, r 0.32163
