Iter 5420, task com, loss 0.46791449189186096
Iter 5430, task com, loss 0.4805033802986145
Iter 5440, task com, loss 0.4778253436088562
Iter 5450, task com, loss 0.4687974452972412
Iter 5460, task com, loss 0.4681296944618225
Iter 5470, task com, loss 0.465931236743927
Iter 5480, task com, loss 0.46223506331443787
Iter 5490, task com, loss 0.4693046510219574
Iter 5500, task com, loss 0.46592622995376587
Iter 5510, task com, loss 0.47349491715431213
Iter 5520, task com, loss 0.46361905336380005
Iter 5530, task com, loss 0.48491135239601135
Iter 5540, task com, loss 0.46789461374282837
Iter 5550, task com, loss 0.4662150740623474
Iter 5560, task com, loss 0.4726658761501312
Iter 5570, task com, loss 0.47145676612854004
Iter 5580, task com, loss 0.45526495575904846
Iter 5590, task com, loss 0.47076940536499023
Iter 5600, task com, loss 0.46080827713012695
Iter 5610, task com, loss 0.469026654958725
Iter 5620, task com, loss 0.4783405363559723
Iter 5630, task com, loss 0.4641576409339905
Iter 5640, task com, loss 0.4652988314628601
Iter 5650, task com, loss 0.4740440249443054
Iter 5660, task com, loss 0.4710756838321686
Iter 5670, task com, loss 0.4698261618614197
Iter 5680, task com, loss 0.4568774104118347
Iter 5690, task com, loss 0.4544481337070465
Iter 5700, task com, loss 0.46272963285446167
Iter 5710, task com, loss 0.47798219323158264
Iter 5720, task com, loss 0.47204479575157166
Iter 5730, task com, loss 0.4667820334434509
Iter 5740, task com, loss 0.45406556129455566
Iter 5750, task com, loss 0.4697639048099518
Iter 5760, task com, loss 0.4737028479576111
Iter 5770, task com, loss 0.4604412019252777
Iter 5780, task com, loss 0.46082860231399536
Iter 5790, task com, loss 0.4795806407928467
Iter 5800, task com, loss 0.46509450674057007
Iter 5810, task com, loss 0.4702346920967102
Iter 5820, task com, loss 0.46087056398391724
Iter 5830, task com, loss 0.4656130373477936
Iter 5840, task com, loss 0.46984434127807617
Iter 5850, task com, loss 0.47112902998924255
Iter 5860, task com, loss 0.4628573954105377
Iter 5870, task com, loss 0.46007466316223145
Iter 5880, task com, loss 0.47324618697166443
Iter 5890, task com, loss 0.4631219506263733
Iter 5900, task com, loss 0.46987834572792053
Iter 5910, task com, loss 0.46176475286483765
Iter 5920, task com, loss 0.46234774589538574
Iter 5930, task com, loss 0.44862690567970276
Iter 5940, task com, loss 0.4679867625236511
Iter 5950, task com, loss 0.46063217520713806
Iter 5960, task com, loss 0.4578346610069275
Iter 5970, task com, loss 0.458871990442276
Iter 5980, task com, loss 0.4677397608757019
Iter 5990, task com, loss 0.47255557775497437
Iter 6000, task com, loss 0.4655369818210602
Iter 6010, task com, loss 0.45259004831314087
Iter 6020, task com, loss 0.4605388045310974
Iter 6030, task com, loss 0.47021549940109253
Iter 6040, task com, loss 0.47170010209083557
Iter 6050, task com, loss 0.4631624221801758
Iter 6060, task com, loss 0.4565633237361908
Iter 6070, task com, loss 0.4532688558101654
Iter 6080, task com, loss 0.4545974135398865
Iter 6090, task com, loss 0.45120716094970703
Iter 6100, task com, loss 0.4651782512664795
Iter 6110, task com, loss 0.45788684487342834
Iter 6120, task com, loss 0.4746209979057312
Iter 6130, task com, loss 0.4630095064640045
Iter 6140, task com, loss 0.45758992433547974
Iter 6150, task com, loss 0.4378208518028259
Iter 6160, task com, loss 0.46683424711227417
Iter 6170, task com, loss 0.4797460436820984
Iter 6180, task com, loss 0.46567875146865845
Iter 6190, task com, loss 0.4616667330265045
Iter 6200, task com, loss 0.4498319625854492
Iter 6210, task com, loss 0.4659569263458252
Iter 6220, task com, loss 0.4579147398471832
Iter 6230, task com, loss 0.45578059554100037
Iter 6240, task com, loss 0.4485446512699127
Iter 6250, task com, loss 0.4602716863155365
Iter 6260, task com, loss 0.45903468132019043
Iter 6270, task com, loss 0.45228949189186096
Iter 6280, task com, loss 0.4648495316505432
Iter 6290, task com, loss 0.440818727016449
Iter 6300, task com, loss 0.444716215133667
Iter 6310, task com, loss 0.45701369643211365
Iter 6320, task com, loss 0.456566721200943
Iter 6330, task com, loss 0.4630175232887268
Iter 6340, task com, loss 0.45737290382385254
