Iter 20400, task keysem17, loss 0.34365448728203773, acc 0.83829, f1 0.66667, p 0.70359, r 0.63343
Iter 20500, task keysem17, loss 0.3455458767712116, acc 0.83745, f1 0.65973, p 0.70906, r 0.61681
Iter 20600, task keysem17, loss 0.34664220983783406, acc 0.83817, f1 0.66022, p 0.71146, r 0.61586
Iter 20700, task keysem17, loss 0.3451537514726321, acc 0.83938, f1 0.67113, p 0.70307, r 0.64198
Iter 20800, task keysem17, loss 0.34844043478369713, acc 0.83866, f1 0.65598, p 0.71980, r 0.60256
Iter 20900, task keysem17, loss 0.34579674775401753, acc 0.83769, f1 0.66127, p 0.70824, r 0.62013
Iter 21000, task keysem17, loss 0.3480164706707001, acc 0.83781, f1 0.65937, p 0.71076, r 0.61491
Iter 21100, task keysem17, loss 0.34857380390167236, acc 0.83636, f1 0.67201, p 0.68806, r 0.65670
Iter 21200, task keysem17, loss 0.3451792163153489, acc 0.83950, f1 0.67195, p 0.70259, r 0.64387
Iter 21300, task keysem17, loss 0.3499575120707353, acc 0.83781, f1 0.66280, p 0.70623, r 0.62441
Iter 21400, task keysem17, loss 0.3506546268860499, acc 0.83841, f1 0.66021, p 0.71271, r 0.61491
Iter 21500, task keysem17, loss 0.3471001796424389, acc 0.83648, f1 0.66863, p 0.69262, r 0.64625
Iter 21600, task keysem17, loss 0.35533501704533893, acc 0.83732, f1 0.64384, p 0.72984, r 0.57597
Iter 21700, task keysem17, loss 0.35233572497963905, acc 0.83757, f1 0.66650, p 0.70031, r 0.63580
Iter 21800, task keysem17, loss 0.3543403322498004, acc 0.83745, f1 0.67253, p 0.69231, r 0.65385
Iter 21900, task keysem17, loss 0.3526248907049497, acc 0.83672, f1 0.66716, p 0.69552, r 0.64103
Iter 22000, task keysem17, loss 0.3516427290936311, acc 0.83829, f1 0.67045, p 0.69876, r 0.64435
Iter 22100, task keysem17, loss 0.3526516904433568, acc 0.83708, f1 0.66534, p 0.69948, r 0.63438
Iter 22200, task keysem17, loss 0.3532732327779134, acc 0.83769, f1 0.68020, p 0.68429, r 0.67616
Iter 22300, task keysem17, loss 0.35712235048413277, acc 0.83793, f1 0.65408, p 0.71859, r 0.60019
Iter 22400, task keysem17, loss 0.3515605926513672, acc 0.83902, f1 0.68169, p 0.68829, r 0.67521
Iter 22500, task keysem17, loss 0.36602869381507236, acc 0.83732, f1 0.63985, p 0.73506, r 0.56648
Iter 22600, task keysem17, loss 0.36049720644950867, acc 0.83478, f1 0.67338, p 0.67973, r 0.66714
Iter 22700, task keysem17, loss 0.35763048628966015, acc 0.83696, f1 0.67877, p 0.68284, r 0.67474
Iter 22800, task keysem17, loss 0.3608703998227914, acc 0.83660, f1 0.67487, p 0.68578, r 0.66429
Iter 22900, task keysem17, loss 0.3590355987350146, acc 0.83732, f1 0.66400, p 0.70233, r 0.62963
Iter 23000, task keysem17, loss 0.36231740564107895, acc 0.83599, f1 0.67437, p 0.68375, r 0.66524
Iter 23100, task keysem17, loss 0.3656516335904598, acc 0.83394, f1 0.67856, p 0.67116, r 0.68613
Iter 23200, task keysem17, loss 0.36292649805545807, acc 0.83539, f1 0.65143, p 0.70957, r 0.60209
