Iter 3320, task fnt, loss 0.6674808263778687
Iter 3330, task fnt, loss 0.6410137414932251
Iter 3340, task fnt, loss 0.6474155187606812
Iter 3350, task fnt, loss 0.6529754400253296
Iter 3360, task fnt, loss 0.6583663821220398
Iter 3370, task fnt, loss 0.6406190991401672
Iter 3380, task fnt, loss 0.6541657447814941
Iter 3390, task fnt, loss 0.667760968208313
Iter 3400, task fnt, loss 0.6673024296760559
Iter 3410, task fnt, loss 0.6380467414855957
Iter 3420, task fnt, loss 0.6390606164932251
Iter 3430, task fnt, loss 0.6681414246559143
Iter 3440, task fnt, loss 0.6373048424720764
Iter 3450, task fnt, loss 0.6350419521331787
Iter 3460, task fnt, loss 0.6483184099197388
Iter 3470, task fnt, loss 0.6206386089324951
Iter 3480, task fnt, loss 0.6192249059677124
Iter 3490, task fnt, loss 0.6609869599342346
Iter 3500, task fnt, loss 0.6582409143447876
Iter 3510, task fnt, loss 0.6421087384223938
Iter 3520, task fnt, loss 0.6340804100036621
Iter 3530, task fnt, loss 0.6483367681503296
Iter 3540, task fnt, loss 0.6663719415664673
Iter 3550, task fnt, loss 0.6371315717697144
Iter 3560, task fnt, loss 0.6246693730354309
Iter 3570, task fnt, loss 0.6443997025489807
Iter 3580, task fnt, loss 0.6392444968223572
Iter 3590, task fnt, loss 0.6339552998542786
Iter 3600, task fnt, loss 0.6286900639533997
Iter 3610, task fnt, loss 0.6266821622848511
Iter 3620, task fnt, loss 0.6386963129043579
Iter 3630, task fnt, loss 0.6303788423538208
Iter 3640, task fnt, loss 0.6307982206344604
Iter 3650, task fnt, loss 0.6176074147224426
Iter 3660, task fnt, loss 0.6442943811416626
Iter 3670, task fnt, loss 0.656886637210846
Iter 3680, task fnt, loss 0.6223776936531067
Iter 3690, task fnt, loss 0.5866231918334961
Iter 3700, task fnt, loss 0.6492707133293152
Iter 3710, task fnt, loss 0.6047242879867554
Iter 3720, task fnt, loss 0.6412904858589172
Iter 3730, task fnt, loss 0.6601054668426514
Iter 3740, task fnt, loss 0.6297358274459839
Iter 3750, task fnt, loss 0.6271941661834717
Iter 3760, task fnt, loss 0.6156129837036133
Iter 3770, task fnt, loss 0.6325547695159912
Iter 3780, task fnt, loss 0.6110155582427979
Iter 3790, task fnt, loss 0.6280867457389832
Iter 3800, task fnt, loss 0.589237630367279
Iter 3810, task fnt, loss 0.6345174908638
Iter 3820, task fnt, loss 0.6112052798271179
Iter 3830, task fnt, loss 0.6427618861198425
Iter 3840, task fnt, loss 0.6342870593070984
Iter 3850, task fnt, loss 0.6392878293991089
Iter 3860, task fnt, loss 0.6295195817947388
Iter 3870, task fnt, loss 0.6084131002426147
Iter 3880, task fnt, loss 0.5981035232543945
Iter 3890, task fnt, loss 0.6187970638275146
Iter 3900, task fnt, loss 0.6154364347457886
Iter 3910, task fnt, loss 0.600669264793396
Iter 3920, task fnt, loss 0.6486023664474487
Iter 3930, task fnt, loss 0.5970579981803894
Iter 3940, task fnt, loss 0.6048641204833984
Iter 3950, task fnt, loss 0.6317960023880005
Iter 3960, task fnt, loss 0.6236375570297241
Iter 3970, task fnt, loss 0.6157364249229431
Iter 3980, task fnt, loss 0.6067888140678406
Iter 3990, task fnt, loss 0.578215479850769
Iter 4000, task fnt, loss 0.6235527992248535
Iter 4010, task fnt, loss 0.5911577939987183
Iter 4020, task fnt, loss 0.5933893918991089
Iter 4030, task fnt, loss 0.6204075217247009
Iter 4040, task fnt, loss 0.6181426048278809
Iter 4050, task fnt, loss 0.6000497937202454
Iter 4060, task fnt, loss 0.6246047019958496
Iter 4070, task fnt, loss 0.5970081090927124
Iter 4080, task fnt, loss 0.5901731848716736
Iter 4090, task fnt, loss 0.6103249788284302
Iter 4100, task fnt, loss 0.5976734161376953
Iter 4110, task fnt, loss 0.6030051112174988
Iter 4120, task fnt, loss 0.601686954498291
Iter 4130, task fnt, loss 0.622596263885498
Iter 4140, task fnt, loss 0.5982083678245544
Iter 4150, task fnt, loss 0.5969097018241882
Iter 4160, task fnt, loss 0.6173915863037109
Iter 4170, task fnt, loss 0.5962945222854614
Iter 4180, task fnt, loss 0.6099252700805664
Iter 4190, task fnt, loss 0.6120314598083496
Iter 4200, task fnt, loss 0.5808411836624146
Iter 4210, task fnt, loss 0.5777209997177124
Iter 4220, task fnt, loss 0.6183762550354004
Iter 4230, task fnt, loss 0.5997152924537659
Iter 4240, task fnt, loss 0.6105421781539917
Iter 4250, task fnt, loss 0.5952059626579285
Iter 4260, task fnt, loss 0.6106749773025513
Iter 4270, task fnt, loss 0.6113230586051941
Iter 4280, task fnt, loss 0.5785335898399353
Iter 4290, task fnt, loss 0.6190611720085144
Iter 4300, task fnt, loss 0.5891237258911133
Iter 4310, task fnt, loss 0.590485155582428
Iter 4320, task fnt, loss 0.584286093711853
Iter 4330, task fnt, loss 0.5834618806838989
Iter 4340, task fnt, loss 0.5634334087371826
Iter 4350, task fnt, loss 0.581496000289917
Iter 4360, task fnt, loss 0.5932742953300476
Iter 4370, task fnt, loss 0.5810102224349976
Iter 4380, task fnt, loss 0.583145022392273
Iter 4390, task fnt, loss 0.5820921063423157
Iter 4400, task fnt, loss 0.5917588472366333
Iter 4410, task fnt, loss 0.589748740196228
Iter 4420, task fnt, loss 0.5937744975090027
Iter 4430, task fnt, loss 0.5838083028793335
Iter 4440, task fnt, loss 0.5764508843421936
Iter 4450, task fnt, loss 0.5892546772956848
Iter 4460, task fnt, loss 0.5821940302848816
Iter 4470, task fnt, loss 0.5732647180557251
Iter 4480, task fnt, loss 0.5863472819328308
Iter 4490, task fnt, loss 0.5826574563980103
Iter 4500, task fnt, loss 0.5630170106887817
Iter 4510, task fnt, loss 0.5879701375961304
Iter 4520, task fnt, loss 0.5721896886825562
Iter 4530, task fnt, loss 0.5836857557296753
Iter 4540, task fnt, loss 0.598347008228302
Iter 4550, task fnt, loss 0.5802148580551147
Iter 4560, task fnt, loss 0.5903298854827881
Iter 4570, task fnt, loss 0.5963793992996216
Iter 4580, task fnt, loss 0.5672307014465332
Iter 4590, task fnt, loss 0.5720329284667969
Iter 4600, task fnt, loss 0.5609344244003296
Iter 4610, task fnt, loss 0.5881205797195435
Iter 4620, task fnt, loss 0.562909722328186
Iter 4630, task fnt, loss 0.5790808796882629
Iter 4640, task fnt, loss 0.5669010877609253
Iter 4650, task fnt, loss 0.5680979490280151
Iter 4660, task fnt, loss 0.5693341493606567
Iter 4670, task fnt, loss 0.5857353210449219
Iter 4680, task fnt, loss 0.5605961680412292
Iter 4690, task fnt, loss 0.572252631187439
Iter 4700, task fnt, loss 0.5665134191513062
Iter 4710, task fnt, loss 0.563468337059021
Iter 4720, task fnt, loss 0.5651233196258545
Iter 4730, task fnt, loss 0.5765231847763062
Iter 4740, task fnt, loss 0.5547017455101013
Iter 4750, task fnt, loss 0.5743114352226257
Iter 4760, task fnt, loss 0.5620740652084351
Iter 4770, task fnt, loss 0.5719191431999207
Iter 4780, task fnt, loss 0.5733386278152466
Iter 4790, task fnt, loss 0.5466984510421753
Iter 4800, task fnt, loss 0.5704576373100281
Iter 4810, task fnt, loss 0.5661323666572571
Iter 4820, task fnt, loss 0.567976176738739
Iter 4830, task fnt, loss 0.5526451468467712
Iter 4840, task fnt, loss 0.540414035320282
Iter 4850, task fnt, loss 0.5666756629943848
Iter 4860, task fnt, loss 0.5419045090675354
Iter 4870, task fnt, loss 0.5505067706108093
Iter 4880, task fnt, loss 0.573691189289093
Iter 4890, task fnt, loss 0.5408163666725159
Iter 4900, task fnt, loss 0.5692383050918579
Iter 4910, task fnt, loss 0.5610328316688538
Iter 4920, task fnt, loss 0.5418711304664612
Iter 4930, task fnt, loss 0.5578336715698242
Iter 4940, task fnt, loss 0.5486019253730774
Iter 4950, task fnt, loss 0.5583063960075378
Iter 4960, task fnt, loss 0.5591071248054504
Iter 4970, task fnt, loss 0.5563362240791321
Iter 4980, task fnt, loss 0.5393326878547668
Iter 4990, task fnt, loss 0.5448094010353088
Iter 5000, task fnt, loss 0.5464054346084595
Iter 5010, task fnt, loss 0.5569130182266235
Iter 5020, task fnt, loss 0.5725330114364624
Iter 5030, task fnt, loss 0.5544420480728149
Iter 5040, task fnt, loss 0.5545910596847534
Iter 5050, task fnt, loss 0.5681438446044922
Iter 5060, task fnt, loss 0.5334292650222778
Iter 5070, task fnt, loss 0.54175865650177
Iter 5080, task fnt, loss 0.5268603563308716
Iter 5090, task fnt, loss 0.5574021339416504
Iter 5100, task fnt, loss 0.5600932836532593
Iter 5110, task fnt, loss 0.5488497614860535
Iter 5120, task fnt, loss 0.538981556892395
Iter 5130, task fnt, loss 0.5525979995727539
Iter 5140, task fnt, loss 0.5496147871017456
Iter 5150, task fnt, loss 0.5474061965942383
Iter 5160, task fnt, loss 0.5275266766548157
Iter 5170, task fnt, loss 0.54381263256073
Iter 5180, task fnt, loss 0.5502814054489136
Iter 5190, task fnt, loss 0.5530176162719727
Iter 5200, task fnt, loss 0.5552926063537598
Iter 5210, task fnt, loss 0.5338278412818909
Iter 5220, task fnt, loss 0.5248634219169617
Iter 5230, task fnt, loss 0.5492255091667175
Iter 5240, task fnt, loss 0.5414396524429321
Iter 5250, task fnt, loss 0.5264257192611694
Iter 5260, task fnt, loss 0.5404256582260132
Iter 5270, task fnt, loss 0.5619049072265625
Iter 5280, task fnt, loss 0.5535186529159546
Iter 5290, task fnt, loss 0.5454684495925903
Iter 5300, task fnt, loss 0.5411715507507324
Iter 5310, task fnt, loss 0.5499328374862671
Iter 5320, task fnt, loss 0.5439489483833313
Iter 5330, task fnt, loss 0.5369609594345093
Iter 5340, task fnt, loss 0.548088014125824
Iter 5350, task fnt, loss 0.532440721988678
Iter 5360, task fnt, loss 0.5482993125915527
Iter 5370, task fnt, loss 0.5214604735374451
Iter 5380, task fnt, loss 0.5157812237739563
Iter 5390, task fnt, loss 0.5172206163406372
Iter 5400, task fnt, loss 0.5164490342140198
Iter 5410, task fnt, loss 0.5228663086891174
Iter 5420, task fnt, loss 0.51471346616745
Iter 5430, task fnt, loss 0.5353347063064575
Iter 5440, task fnt, loss 0.5284301042556763
Iter 5450, task fnt, loss 0.5334624648094177
Iter 5460, task fnt, loss 0.5326038599014282
Iter 5470, task fnt, loss 0.5270821452140808
Iter 5480, task fnt, loss 0.527814507484436
Iter 5490, task fnt, loss 0.5250081419944763
Iter 5500, task fnt, loss 0.5197786688804626
Iter 5510, task fnt, loss 0.5097744464874268
Iter 5520, task fnt, loss 0.5354212522506714
Iter 5530, task fnt, loss 0.5246375799179077
Iter 5540, task fnt, loss 0.538583517074585
Iter 5550, task fnt, loss 0.5190930962562561
Iter 5560, task fnt, loss 0.5111701488494873
Iter 5570, task fnt, loss 0.5106348395347595
Iter 5580, task fnt, loss 0.5314038395881653
Iter 5590, task fnt, loss 0.5116168260574341
Iter 5600, task fnt, loss 0.5179675817489624
Iter 5610, task fnt, loss 0.5020792484283447
Iter 5620, task fnt, loss 0.4981933534145355
Iter 5630, task fnt, loss 0.5192886590957642
Iter 5640, task fnt, loss 0.5017115473747253
Iter 5650, task fnt, loss 0.5264140963554382
Iter 5660, task fnt, loss 0.5278441905975342
Iter 5670, task fnt, loss 0.4983009696006775
Iter 5680, task fnt, loss 0.5070251226425171
