Iter 3530, task ccg, loss 3.1447625160217285
Iter 3540, task ccg, loss 3.0184125900268555
Iter 3550, task ccg, loss 3.0532476902008057
Iter 3560, task ccg, loss 3.0953948497772217
Iter 3570, task ccg, loss 3.081906318664551
Iter 3580, task ccg, loss 2.930767774581909
Iter 3590, task ccg, loss 3.0421547889709473
Iter 3600, task ccg, loss 3.050964832305908
Iter 3610, task ccg, loss 2.970097780227661
Iter 3620, task ccg, loss 3.005138874053955
Iter 3630, task ccg, loss 2.988163471221924
Iter 3640, task ccg, loss 3.0822062492370605
Iter 3650, task ccg, loss 3.0949697494506836
Iter 3660, task ccg, loss 3.1695122718811035
Iter 3670, task ccg, loss 3.085132598876953
Iter 3680, task ccg, loss 2.8227639198303223
Iter 3690, task ccg, loss 2.964285373687744
Iter 3700, task ccg, loss 2.963822364807129
Iter 3710, task ccg, loss 2.9709084033966064
Iter 3720, task ccg, loss 2.8238422870635986
Iter 3730, task ccg, loss 2.9527885913848877
Iter 3740, task ccg, loss 3.160759210586548
Iter 3750, task ccg, loss 2.9285523891448975
Iter 3760, task ccg, loss 2.8733272552490234
Iter 3770, task ccg, loss 2.9183743000030518
Iter 3780, task ccg, loss 2.963970422744751
Iter 3790, task ccg, loss 2.946898937225342
Iter 3800, task ccg, loss 3.0772411823272705
Iter 3810, task ccg, loss 2.8718338012695312
Iter 3820, task ccg, loss 2.9658312797546387
Iter 3830, task ccg, loss 2.980302095413208
Iter 3840, task ccg, loss 2.928154706954956
Iter 3850, task ccg, loss 3.009678602218628
Iter 3860, task ccg, loss 2.923861026763916
Iter 3870, task ccg, loss 2.8598880767822266
Iter 3880, task ccg, loss 2.966616153717041
Iter 3890, task ccg, loss 2.855419635772705
Iter 3900, task ccg, loss 2.938889980316162
Iter 3910, task ccg, loss 2.9257214069366455
Iter 3920, task ccg, loss 2.906831741333008
Iter 3930, task ccg, loss 2.8961358070373535
Iter 3940, task ccg, loss 2.968794107437134
Iter 3950, task ccg, loss 2.869778871536255
Iter 3960, task ccg, loss 2.7492868900299072
Iter 3970, task ccg, loss 2.9652068614959717
Iter 3980, task ccg, loss 2.972653865814209
Iter 3990, task ccg, loss 2.945638656616211
Iter 4000, task ccg, loss 2.971590518951416
Iter 4010, task ccg, loss 2.915393829345703
Iter 4020, task ccg, loss 2.845475673675537
Iter 4030, task ccg, loss 2.811195135116577
Iter 4040, task ccg, loss 2.903625965118408
Iter 4050, task ccg, loss 3.0227303504943848
Iter 4060, task ccg, loss 2.7919888496398926
Iter 4070, task ccg, loss 2.976069450378418
Iter 4080, task ccg, loss 2.9058313369750977
