Iter 16700, task streusle, loss 0.9866137941678365, acc 0.73843, f1 0.54428, p 0.57074, r 0.52016
Iter 16800, task streusle, loss 0.9784589767456054, acc 0.73950, f1 0.54736, p 0.57504, r 0.52223
Iter 16900, task streusle, loss 0.9702675779660542, acc 0.73859, f1 0.54540, p 0.57356, r 0.51987
Iter 17000, task streusle, loss 0.9624186873435974, acc 0.74027, f1 0.54840, p 0.57554, r 0.52370
Iter 17100, task streusle, loss 0.9542161782582601, acc 0.74103, f1 0.54971, p 0.57702, r 0.52487
Iter 17200, task streusle, loss 0.947351352373759, acc 0.73935, f1 0.54663, p 0.57486, r 0.52105
Iter 17300, task streusle, loss 0.9390514969825745, acc 0.74042, f1 0.54803, p 0.57438, r 0.52399
Iter 17400, task streusle, loss 0.9318845669428507, acc 0.74042, f1 0.54823, p 0.57625, r 0.52281
Iter 17500, task streusle, loss 0.9249585350354512, acc 0.74011, f1 0.54762, p 0.57669, r 0.52134
Iter 17600, task streusle, loss 0.9170022288958232, acc 0.74133, f1 0.55005, p 0.57669, r 0.52576
Iter 17700, task streusle, loss 0.9098105430603027, acc 0.74210, f1 0.55074, p 0.57644, r 0.52723
Iter 17800, task streusle, loss 0.9024192293485006, acc 0.74240, f1 0.55130, p 0.57732, r 0.52752
Iter 17900, task streusle, loss 0.8956648588180542, acc 0.74240, f1 0.55148, p 0.57878, r 0.52664
Iter 18000, task streusle, loss 0.8884745200475057, acc 0.74210, f1 0.55078, p 0.57794, r 0.52605
Iter 18100, task streusle, loss 0.881415859858195, acc 0.74256, f1 0.55138, p 0.57751, r 0.52752
Iter 18200, task streusle, loss 0.8745723565419515, acc 0.74424, f1 0.55443, p 0.57856, r 0.53223
Iter 18300, task streusle, loss 0.8681609034538269, acc 0.74332, f1 0.55290, p 0.57978, r 0.52841
Iter 18400, task streusle, loss 0.8608317613601685, acc 0.74469, f1 0.55491, p 0.57925, r 0.53253
Iter 18500, task streusle, loss 0.8543510357538859, acc 0.74424, f1 0.55459, p 0.57786, r 0.53312
Iter 18600, task streusle, loss 0.848255435625712, acc 0.74530, f1 0.55550, p 0.58055, r 0.53253
Iter 18700, task streusle, loss 0.8420373439788819, acc 0.74485, f1 0.55530, p 0.58151, r 0.53135
Iter 18800, task streusle, loss 0.8357925534248352, acc 0.74424, f1 0.55419, p 0.58083, r 0.52988
Iter 18900, task streusle, loss 0.8293471217155457, acc 0.74530, f1 0.55598, p 0.57950, r 0.53429
Iter 19000, task streusle, loss 0.8233819802602133, acc 0.74546, f1 0.55631, p 0.58090, r 0.53371
Iter 19100, task streusle, loss 0.8170283794403076, acc 0.74607, f1 0.55717, p 0.58036, r 0.53577
Iter 19200, task streusle, loss 0.8113121867179871, acc 0.74561, f1 0.55605, p 0.58035, r 0.53371
Iter 19300, task streusle, loss 0.8056348443031311, acc 0.74622, f1 0.55795, p 0.58379, r 0.53429
Iter 19400, task streusle, loss 0.7997670213381449, acc 0.74607, f1 0.55733, p 0.58315, r 0.53371
Iter 19500, task streusle, loss 0.7942751169204711, acc 0.74592, f1 0.55713, p 0.58234, r 0.53400
Iter 19600, task streusle, loss 0.7887541770935058, acc 0.74729, f1 0.55960, p 0.58424, r 0.53694
Iter 19700, task streusle, loss 0.7834110061327616, acc 0.74760, f1 0.56020, p 0.58555, r 0.53694
Iter 19800, task streusle, loss 0.7783212780952453, acc 0.74530, f1 0.55549, p 0.58122, r 0.53194
Iter 19900, task streusle, loss 0.7726594090461731, acc 0.74714, f1 0.55951, p 0.58405, r 0.53694
Iter 20000, task streusle, loss 0.7677803079287211, acc 0.74714, f1 0.56064, p 0.58829, r 0.53547
Iter 20100, task streusle, loss 0.7621810714403788, acc 0.74866, f1 0.56180, p 0.58557, r 0.53989
Iter 20200, task streusle, loss 0.7572261889775594, acc 0.74821, f1 0.56043, p 0.58501, r 0.53783
Iter 20300, task streusle, loss 0.7519336104393005, acc 0.75019, f1 0.56420, p 0.58905, r 0.54136
Iter 20400, task streusle, loss 0.7470014135042826, acc 0.74897, f1 0.56196, p 0.58662, r 0.53930
Iter 20500, task streusle, loss 0.7426762700080871, acc 0.74973, f1 0.56387, p 0.59009, r 0.53989
Iter 20600, task streusle, loss 0.7373063087463378, acc 0.75126, f1 0.56631, p 0.59017, r 0.54430
Iter 20700, task streusle, loss 0.7325320283571879, acc 0.75050, f1 0.56453, p 0.58667, r 0.54401
Iter 20800, task streusle, loss 0.727504289150238, acc 0.75050, f1 0.56517, p 0.58908, r 0.54313
Iter 20900, task streusle, loss 0.7232997457186381, acc 0.75080, f1 0.56498, p 0.59006, r 0.54195
Iter 21000, task streusle, loss 0.7183135906855266, acc 0.75294, f1 0.56946, p 0.59355, r 0.54725
Iter 21100, task streusle, loss 0.7145348985989889, acc 0.75080, f1 0.56456, p 0.58844, r 0.54254
Iter 21200, task streusle, loss 0.7099692106246949, acc 0.75141, f1 0.56630, p 0.59154, r 0.54313
Iter 21300, task streusle, loss 0.7052387038866679, acc 0.75233, f1 0.56767, p 0.59139, r 0.54578
Iter 21400, task streusle, loss 0.7009170373280843, acc 0.75202, f1 0.56679, p 0.59087, r 0.54460
Iter 21500, task streusle, loss 0.6970433831214905, acc 0.75141, f1 0.56617, p 0.59091, r 0.54342
Iter 21600, task streusle, loss 0.6927640080451966, acc 0.75263, f1 0.56815, p 0.59208, r 0.54607
Iter 21700, task streusle, loss 0.688608455657959, acc 0.75355, f1 0.56964, p 0.59324, r 0.54784
Iter 21800, task streusle, loss 0.6846854209899902, acc 0.75309, f1 0.56893, p 0.59310, r 0.54666
Iter 21900, task streusle, loss 0.6811359008153279, acc 0.75355, f1 0.56994, p 0.59425, r 0.54754
Iter 22000, task streusle, loss 0.6775972406069438, acc 0.75416, f1 0.57125, p 0.59572, r 0.54872
Iter 22100, task streusle, loss 0.6733879327774048, acc 0.75309, f1 0.56933, p 0.59361, r 0.54695
Iter 22200, task streusle, loss 0.6693671266237895, acc 0.75508, f1 0.57270, p 0.59643, r 0.55078
Iter 22300, task streusle, loss 0.6655309518178304, acc 0.75538, f1 0.57318, p 0.59713, r 0.55107
Iter 22400, task streusle, loss 0.6617314298947652, acc 0.75477, f1 0.57195, p 0.59585, r 0.54990
Iter 22500, task streusle, loss 0.6586852033933004, acc 0.75492, f1 0.57191, p 0.59541, r 0.55019
Iter 22600, task streusle, loss 0.6551079233487447, acc 0.75447, f1 0.57156, p 0.59604, r 0.54901
Iter 22700, task streusle, loss 0.6519628365834554, acc 0.75508, f1 0.57279, p 0.59732, r 0.55019
Iter 22800, task streusle, loss 0.6481057524681091, acc 0.75584, f1 0.57379, p 0.59777, r 0.55166
Iter 22900, task streusle, loss 0.6446216185887654, acc 0.75599, f1 0.57462, p 0.59784, r 0.55314
Iter 23000, task streusle, loss 0.6412750999132792, acc 0.75508, f1 0.57287, p 0.59751, r 0.55019
Iter 23100, task streusle, loss 0.6380818804105123, acc 0.75554, f1 0.57348, p 0.59745, r 0.55137
Iter 23200, task streusle, loss 0.6348479151725769, acc 0.75645, f1 0.57505, p 0.59809, r 0.55372
Iter 23300, task streusle, loss 0.6318199416001637, acc 0.75615, f1 0.57418, p 0.59758, r 0.55255
Iter 23400, task streusle, loss 0.6284396668275197, acc 0.75615, f1 0.57445, p 0.59815, r 0.55255
Iter 23500, task streusle, loss 0.625565113623937, acc 0.75676, f1 0.57541, p 0.59885, r 0.55372
Iter 23600, task streusle, loss 0.6227225184440612, acc 0.75706, f1 0.57641, p 0.60000, r 0.55461
Iter 23700, task streusle, loss 0.6196825802326202, acc 0.75752, f1 0.57746, p 0.60089, r 0.55578
Iter 23800, task streusle, loss 0.6170026580492656, acc 0.75798, f1 0.57794, p 0.60159, r 0.55608
Iter 23900, task streusle, loss 0.6134789923826853, acc 0.75706, f1 0.57658, p 0.59968, r 0.55520
Iter 24000, task streusle, loss 0.6107997099558512, acc 0.75798, f1 0.57811, p 0.60127, r 0.55667
Iter 24100, task streusle, loss 0.6083154598871867, acc 0.75828, f1 0.57891, p 0.60300, r 0.55667
Iter 24200, task streusle, loss 0.6050852318604787, acc 0.75676, f1 0.57588, p 0.59816, r 0.55520
Iter 24300, task streusle, loss 0.6023001690705617, acc 0.75813, f1 0.57855, p 0.60153, r 0.55726
Iter 24400, task streusle, loss 0.5999124964078267, acc 0.75935, f1 0.58082, p 0.60439, r 0.55902
Iter 24500, task streusle, loss 0.5973876317342123, acc 0.75905, f1 0.58009, p 0.60453, r 0.55755
Iter 24600, task streusle, loss 0.5951186299324036, acc 0.75859, f1 0.57900, p 0.60319, r 0.55667
Iter 24700, task streusle, loss 0.5924063305060069, acc 0.75844, f1 0.57914, p 0.60455, r 0.55578
Iter 24800, task streusle, loss 0.5889482657114665, acc 0.75859, f1 0.57920, p 0.60190, r 0.55814
Iter 24900, task streusle, loss 0.5870427449544271, acc 0.75966, f1 0.58143, p 0.60503, r 0.55961
Iter 25000, task streusle, loss 0.5838277399539947, acc 0.75920, f1 0.58044, p 0.60152, r 0.56079
Iter 25100, task streusle, loss 0.5816707829634349, acc 0.75981, f1 0.58143, p 0.60503, r 0.55961
Iter 25200, task streusle, loss 0.5791494925816854, acc 0.76012, f1 0.58179, p 0.60580, r 0.55961
Iter 25300, task streusle, loss 0.5767412225405375, acc 0.76118, f1 0.58355, p 0.60583, r 0.56285
Iter 25400, task streusle, loss 0.5747179488341013, acc 0.75996, f1 0.58229, p 0.60246, r 0.56344
Iter 25500, task streusle, loss 0.5724975327650706, acc 0.76118, f1 0.58445, p 0.60607, r 0.56432
Iter 25600, task streusle, loss 0.5702698508898417, acc 0.76103, f1 0.58342, p 0.60590, r 0.56256
Iter 25700, task streusle, loss 0.5682954947153728, acc 0.76103, f1 0.58378, p 0.60667, r 0.56256
Iter 25800, task streusle, loss 0.5659539759159088, acc 0.76012, f1 0.58267, p 0.60462, r 0.56226
Iter 25900, task streusle, loss 0.5637927611668905, acc 0.76012, f1 0.58214, p 0.60348, r 0.56226
Iter 26000, task streusle, loss 0.5616465886433919, acc 0.76057, f1 0.58345, p 0.60493, r 0.56344
