Iter 8000, task streusle, loss 2.6243248144785563, acc 0.62666, f1 0.36282, p 0.44154, r 0.30792
Iter 8000, task com, loss 0.5704256196816763, acc 0.83630, f1 0.31667, p 0.67323, r 0.20702
Iter 8100, task streusle, loss 2.6156137625376386, acc 0.63094, f1 0.37156, p 0.45050, r 0.31616
Iter 8100, task com, loss 0.5690616071224213, acc 0.83586, f1 0.31734, p 0.66667, r 0.20823
Iter 8200, task streusle, loss 2.6059422492980957, acc 0.63262, f1 0.37337, p 0.44928, r 0.31940
Iter 8200, task com, loss 0.5679550518592199, acc 0.83344, f1 0.29084, p 0.66094, r 0.18644
Iter 8300, task streusle, loss 2.5978379408518473, acc 0.63491, f1 0.37828, p 0.45832, r 0.32205
Iter 8300, task com, loss 0.5665681113799413, acc 0.83366, f1 0.29379, p 0.66102, r 0.18886
Iter 8400, task streusle, loss 2.5901386896769205, acc 0.63628, f1 0.38071, p 0.46125, r 0.32411
Iter 8400, task com, loss 0.5652115046977997, acc 0.83542, f1 0.32051, p 0.65789, r 0.21186
Iter 8500, task streusle, loss 2.5826568921407063, acc 0.63811, f1 0.38293, p 0.45835, r 0.32882
Iter 8500, task com, loss 0.5637066413958868, acc 0.83278, f1 0.28733, p 0.65517, r 0.18402
Iter 8600, task streusle, loss 2.5738872210184733, acc 0.63949, f1 0.38743, p 0.46848, r 0.33029
Iter 8600, task com, loss 0.56237164636453, acc 0.83564, f1 0.31198, p 0.66932, r 0.20339
Iter 8700, task streusle, loss 2.566105858484904, acc 0.64239, f1 0.39074, p 0.45873, r 0.34030
Iter 8700, task com, loss 0.5609367042779922, acc 0.83652, f1 0.31919, p 0.67054, r 0.20944
Iter 8800, task streusle, loss 2.5585528055826825, acc 0.64315, f1 0.39175, p 0.46044, r 0.34089
Iter 8800, task com, loss 0.5595456113417944, acc 0.83652, f1 0.31948, p 0.67315, r 0.20944
Iter 8900, task streusle, loss 2.551169427235921, acc 0.64346, f1 0.39172, p 0.46200, r 0.34001
Iter 8900, task com, loss 0.557920460899671, acc 0.83630, f1 0.31793, p 0.67188, r 0.20823
Iter 9000, task streusle, loss 2.5425788084665935, acc 0.64559, f1 0.39529, p 0.46063, r 0.34619
Iter 9000, task com, loss 0.5567189554373423, acc 0.83630, f1 0.31481, p 0.66929, r 0.20581
Iter 9100, task streusle, loss 2.533597532908122, acc 0.64865, f1 0.40162, p 0.47054, r 0.35031
Iter 9100, task com, loss 0.5557923316955566, acc 0.83630, f1 0.33122, p 0.65591, r 0.22155
Iter 9200, task streusle, loss 2.5264378865559896, acc 0.65033, f1 0.40460, p 0.47610, r 0.35178
Iter 9200, task com, loss 0.5545362581809362, acc 0.83696, f1 0.33424, p 0.65836, r 0.22397
Iter 9300, task streusle, loss 2.520022996266683, acc 0.65201, f1 0.40770, p 0.47821, r 0.35531
Iter 9300, task com, loss 0.5526115596294403, acc 0.83564, f1 0.30884, p 0.66667, r 0.20097
Iter 9400, task streusle, loss 2.511240816116333, acc 0.65430, f1 0.41235, p 0.47933, r 0.36179
Iter 9400, task com, loss 0.5512556036313375, acc 0.83718, f1 0.32353, p 0.67176, r 0.21308
Iter 9500, task streusle, loss 2.503237183888753, acc 0.65369, f1 0.41076, p 0.47507, r 0.36179
Iter 9500, task com, loss 0.5501799285411835, acc 0.83696, f1 0.33182, p 0.66065, r 0.22155
Iter 9600, task streusle, loss 2.4951744238535563, acc 0.65445, f1 0.41153, p 0.47409, r 0.36356
Iter 9600, task com, loss 0.5489294131596884, acc 0.83740, f1 0.33843, p 0.65965, r 0.22760
Iter 9700, task streusle, loss 2.486987511316935, acc 0.65766, f1 0.41719, p 0.47813, r 0.37003
Iter 9700, task com, loss 0.5478140910466512, acc 0.83674, f1 0.33841, p 0.64948, r 0.22881
Iter 9800, task streusle, loss 2.47918430964152, acc 0.65980, f1 0.42149, p 0.48652, r 0.37180
Iter 9800, task com, loss 0.5459785461425781, acc 0.83718, f1 0.32571, p 0.66667, r 0.21550
Iter 9900, task streusle, loss 2.4708409468332926, acc 0.66102, f1 0.42367, p 0.49033, r 0.37298
Iter 9900, task com, loss 0.5449410378932953, acc 0.83652, f1 0.31860, p 0.66538, r 0.20944
Iter 10000, task streusle, loss 2.4622337341308596, acc 0.66254, f1 0.42627, p 0.48969, r 0.37739
Iter 10000, task com, loss 0.5436216841141382, acc 0.83674, f1 0.32169, p 0.66794, r 0.21186
Iter 10100, task streusle, loss 2.4541849931081137, acc 0.66331, f1 0.42779, p 0.49271, r 0.37798
Iter 10100, task com, loss 0.5424087444941202, acc 0.83740, f1 0.32353, p 0.67176, r 0.21308
Iter 10200, task streusle, loss 2.445306412378947, acc 0.66529, f1 0.43150, p 0.49655, r 0.38151
Iter 10200, task com, loss 0.5413108617067337, acc 0.83696, f1 0.32015, p 0.66667, r 0.21065
Iter 10300, task streusle, loss 2.4381378014882404, acc 0.66545, f1 0.43130, p 0.49504, r 0.38210
Iter 10300, task com, loss 0.5398943473895391, acc 0.83740, f1 0.32477, p 0.67045, r 0.21429
Iter 10400, task streusle, loss 2.4298775513966877, acc 0.66743, f1 0.43555, p 0.49981, r 0.38593
Iter 10400, task com, loss 0.539010132352511, acc 0.83586, f1 0.31647, p 0.65900, r 0.20823
Iter 10500, task streusle, loss 2.4227171103159586, acc 0.66758, f1 0.43534, p 0.49829, r 0.38652
Iter 10500, task com, loss 0.5377671072880427, acc 0.83806, f1 0.34023, p 0.66316, r 0.22881
Iter 10600, task streusle, loss 2.4152801195780436, acc 0.66972, f1 0.44002, p 0.50418, r 0.39034
Iter 10600, task com, loss 0.5363484968741735, acc 0.83718, f1 0.31285, p 0.67742, r 0.20339
Iter 10700, task streusle, loss 2.4067389329274493, acc 0.67125, f1 0.44173, p 0.50187, r 0.39447
Iter 10700, task com, loss 0.535428966085116, acc 0.83784, f1 0.34783, p 0.65116, r 0.23729
Iter 10800, task streusle, loss 2.4002861817677816, acc 0.67125, f1 0.44156, p 0.50000, r 0.39535
Iter 10800, task com, loss 0.5336228261391321, acc 0.83784, f1 0.32754, p 0.67041, r 0.21671
Iter 10900, task streusle, loss 2.3920900026957193, acc 0.67109, f1 0.44216, p 0.50491, r 0.39329
Iter 10900, task com, loss 0.5325327813625336, acc 0.83696, f1 0.32015, p 0.66667, r 0.21065
Iter 11000, task streusle, loss 2.382781648635864, acc 0.67415, f1 0.44795, p 0.50650, r 0.40153
Iter 11000, task com, loss 0.5315724263588587, acc 0.83784, f1 0.32877, p 0.66914, r 0.21792
Iter 11100, task streusle, loss 2.3755630016326905, acc 0.67568, f1 0.45057, p 0.51277, r 0.40183
Iter 11100, task com, loss 0.530315950512886, acc 0.83916, f1 0.34027, p 0.67384, r 0.22760
Iter 11200, task streusle, loss 2.368102232615153, acc 0.67613, f1 0.44996, p 0.50513, r 0.40565
Iter 11200, task com, loss 0.5291347255309423, acc 0.83894, f1 0.34821, p 0.66327, r 0.23608
Iter 11300, task streusle, loss 2.359740130106608, acc 0.67705, f1 0.45191, p 0.50961, r 0.40595
Iter 11300, task com, loss 0.5280875513950983, acc 0.83806, f1 0.32907, p 0.67164, r 0.21792
Iter 11400, task streusle, loss 2.3527318159739177, acc 0.67659, f1 0.45065, p 0.50966, r 0.40389
Iter 11400, task com, loss 0.5265492151180903, acc 0.83894, f1 0.33996, p 0.67143, r 0.22760
Iter 11500, task streusle, loss 2.345647700627645, acc 0.67797, f1 0.45344, p 0.51165, r 0.40712
Iter 11500, task com, loss 0.5252935340007147, acc 0.83696, f1 0.32264, p 0.66415, r 0.21308
Iter 11600, task streusle, loss 2.336908197402954, acc 0.67797, f1 0.45301, p 0.51148, r 0.40654
Iter 11600, task com, loss 0.5242737680673599, acc 0.83916, f1 0.33908, p 0.67509, r 0.22639
Iter 11700, task streusle, loss 2.328354549407959, acc 0.67858, f1 0.45403, p 0.50990, r 0.40918
Iter 11700, task com, loss 0.5233896275361379, acc 0.83872, f1 0.35252, p 0.65677, r 0.24092
Iter 11800, task streusle, loss 2.321995210647583, acc 0.67812, f1 0.45109, p 0.50345, r 0.40860
Iter 11800, task com, loss 0.5220760802427927, acc 0.83872, f1 0.34790, p 0.66102, r 0.23608
Iter 11900, task streusle, loss 2.3147958755493163, acc 0.68148, f1 0.45993, p 0.51748, r 0.41389
Iter 11900, task com, loss 0.5207380304733912, acc 0.83916, f1 0.34853, p 0.66553, r 0.23608
Iter 12000, task streusle, loss 2.307586892445882, acc 0.68056, f1 0.45723, p 0.51204, r 0.41301
Iter 12000, task com, loss 0.5199858993291855, acc 0.83916, f1 0.35996, p 0.65495, r 0.24818
Iter 12100, task streusle, loss 2.300649722417196, acc 0.68071, f1 0.45685, p 0.51111, r 0.41301
Iter 12100, task com, loss 0.5181147307157516, acc 0.83894, f1 0.33877, p 0.67266, r 0.22639
Iter 12200, task streusle, loss 2.293720992406209, acc 0.68362, f1 0.46276, p 0.51689, r 0.41890
Iter 12200, task com, loss 0.5168240815401077, acc 0.83828, f1 0.33303, p 0.67033, r 0.22155
Iter 12300, task streusle, loss 2.2866689840952557, acc 0.68468, f1 0.46467, p 0.51985, r 0.42008
Iter 12300, task com, loss 0.5156107644240061, acc 0.83916, f1 0.34265, p 0.67138, r 0.23002
Iter 12400, task streusle, loss 2.277626371383667, acc 0.68423, f1 0.46379, p 0.51720, r 0.42037
Iter 12400, task com, loss 0.5146971245606741, acc 0.83938, f1 0.34177, p 0.67500, r 0.22881
Iter 12500, task streusle, loss 2.271410512924194, acc 0.68438, f1 0.46336, p 0.51570, r 0.42067
Iter 12500, task com, loss 0.5133411983648936, acc 0.83960, f1 0.35607, p 0.66337, r 0.24334
Iter 12600, task streusle, loss 2.2642643133799236, acc 0.68621, f1 0.46725, p 0.52003, r 0.42420
Iter 12600, task com, loss 0.5124292969703674, acc 0.84025, f1 0.36713, p 0.66038, r 0.25424
Iter 12700, task streusle, loss 2.2567011674245196, acc 0.68575, f1 0.46475, p 0.51561, r 0.42302
Iter 12700, task com, loss 0.5108057061831156, acc 0.83916, f1 0.34146, p 0.67260, r 0.22881
Iter 12800, task streusle, loss 2.2497459093729657, acc 0.68652, f1 0.46721, p 0.52081, r 0.42361
Iter 12800, task com, loss 0.5096090485652288, acc 0.83916, f1 0.34027, p 0.67384, r 0.22760
