Iter 9400, task hyperlinks, loss 0.5265503525733948, acc 0.85080, f1 0.35662, p 0.71324, r 0.23775
Iter 9500, task gpos, loss 1.2664482355117799, acc 0.78725, f1 0.78881, p 0.79038, r 0.78725
Iter 9500, task hyperlinks, loss 0.5269808173179626, acc 0.85292, f1 0.37838, p 0.71429, r 0.25735
Iter 9600, task gpos, loss 1.261018403371175, acc 0.78784, f1 0.78934, p 0.79085, r 0.78784
Iter 9600, task hyperlinks, loss 0.5245887637138367, acc 0.85334, f1 0.39223, p 0.70253, r 0.27206
Iter 9700, task gpos, loss 1.2537556409835815, acc 0.79033, f1 0.79184, p 0.79335, r 0.79033
Iter 9700, task hyperlinks, loss 0.5247221986452738, acc 0.85376, f1 0.38198, p 0.72109, r 0.25980
Iter 9800, task gpos, loss 1.2472162246704102, acc 0.79062, f1 0.79213, p 0.79365, r 0.79062
Iter 9800, task hyperlinks, loss 0.5241486330827078, acc 0.85418, f1 0.41034, p 0.69186, r 0.29167
Iter 9900, task gpos, loss 1.2405667543411254, acc 0.79253, f1 0.79404, p 0.79556, r 0.79253
Iter 9900, task hyperlinks, loss 0.5252063373724619, acc 0.85376, f1 0.37523, p 0.73050, r 0.25245
Iter 10000, task gpos, loss 1.233292531967163, acc 0.79326, f1 0.79477, p 0.79629, r 0.79326
Iter 10000, task hyperlinks, loss 0.5243266324202219, acc 0.85376, f1 0.37523, p 0.73050, r 0.25245
Iter 10100, task gpos, loss 1.226470708847046, acc 0.79502, f1 0.79648, p 0.79794, r 0.79502
Iter 10100, task hyperlinks, loss 0.5243887801965078, acc 0.85503, f1 0.37269, p 0.75373, r 0.24755
Iter 10200, task gpos, loss 1.2191848595937094, acc 0.79604, f1 0.79750, p 0.79897, r 0.79604
Iter 10200, task hyperlinks, loss 0.5224379599094391, acc 0.85418, f1 0.40418, p 0.69880, r 0.28431
Iter 10300, task gpos, loss 1.2126127401987712, acc 0.79766, f1 0.79918, p 0.80071, r 0.79766
Iter 10300, task hyperlinks, loss 0.5214507778485616, acc 0.85376, f1 0.39292, p 0.70701, r 0.27206
Iter 10400, task gpos, loss 1.2052279472351075, acc 0.79927, f1 0.80079, p 0.80232, r 0.79927
Iter 10400, task hyperlinks, loss 0.5226650436719259, acc 0.85249, f1 0.35688, p 0.73846, r 0.23529
Iter 10500, task gpos, loss 1.1987841606140137, acc 0.79956, f1 0.80097, p 0.80238, r 0.79956
Iter 10500, task hyperlinks, loss 0.5216671427090963, acc 0.85207, f1 0.38146, p 0.69935, r 0.26225
Iter 10600, task gpos, loss 1.1913267532984415, acc 0.79868, f1 0.80009, p 0.80150, r 0.79868
Iter 10600, task hyperlinks, loss 0.5217023392518362, acc 0.85038, f1 0.38313, p 0.67702, r 0.26716
Iter 10700, task gpos, loss 1.1840924819310505, acc 0.80059, f1 0.80200, p 0.80341, r 0.80059
Iter 10700, task hyperlinks, loss 0.5220890442530314, acc 0.85038, f1 0.39378, p 0.66667, r 0.27941
Iter 10800, task gpos, loss 1.1777534325917562, acc 0.80161, f1 0.80302, p 0.80444, r 0.80161
Iter 10800, task hyperlinks, loss 0.5205831031004587, acc 0.84996, f1 0.40741, p 0.65054, r 0.29657
Iter 10900, task gpos, loss 1.1695773601531982, acc 0.80205, f1 0.80341, p 0.80476, r 0.80205
Iter 10900, task hyperlinks, loss 0.5207127730051676, acc 0.85249, f1 0.40345, p 0.68023, r 0.28676
Iter 11000, task gpos, loss 1.1623814344406127, acc 0.80366, f1 0.80502, p 0.80638, r 0.80366
