Iter 17800, task semcor, loss 0.792764901744653, acc 0.79779, f1 0.60955, p 0.61533, r 0.60387
Iter 17900, task semcor, loss 0.7878778478126842, acc 0.79846, f1 0.61082, p 0.61772, r 0.60408
Iter 18000, task semcor, loss 0.7830448570211975, acc 0.79852, f1 0.61129, p 0.61981, r 0.60300
Iter 18100, task semcor, loss 0.7784067301029498, acc 0.79868, f1 0.61171, p 0.62255, r 0.60125
Iter 18200, task semcor, loss 0.7738682519081463, acc 0.79891, f1 0.61158, p 0.61761, r 0.60566
Iter 18300, task semcor, loss 0.7689957895140717, acc 0.79951, f1 0.61281, p 0.62124, r 0.60461
Iter 18400, task semcor, loss 0.7644494913873219, acc 0.79982, f1 0.61358, p 0.62120, r 0.60614
Iter 18500, task semcor, loss 0.7599879418100629, acc 0.80010, f1 0.61440, p 0.62047, r 0.60846
Iter 18600, task semcor, loss 0.7552888310720708, acc 0.80073, f1 0.61540, p 0.62405, r 0.60698
Iter 18700, task semcor, loss 0.7508878277202077, acc 0.80105, f1 0.61578, p 0.62332, r 0.60841
Iter 18800, task semcor, loss 0.7464620964620918, acc 0.80103, f1 0.61612, p 0.62569, r 0.60685
Iter 18900, task semcor, loss 0.7420743252179638, acc 0.80141, f1 0.61672, p 0.62489, r 0.60876
Iter 19000, task semcor, loss 0.7377765157701559, acc 0.80170, f1 0.61694, p 0.62614, r 0.60801
Iter 19100, task semcor, loss 0.7334257597508638, acc 0.80202, f1 0.61757, p 0.62296, r 0.61227
Iter 19200, task semcor, loss 0.7292688224873434, acc 0.80233, f1 0.61874, p 0.62522, r 0.61238
Iter 19300, task semcor, loss 0.7250210547792739, acc 0.80248, f1 0.61837, p 0.62459, r 0.61227
Iter 19400, task semcor, loss 0.7206821254074697, acc 0.80289, f1 0.61925, p 0.62711, r 0.61159
Iter 19500, task semcor, loss 0.7166524839203797, acc 0.80297, f1 0.61875, p 0.62626, r 0.61142
