Iter 4790, task mwe, loss 1.0084998607635498
Iter 4800, task mwe, loss 1.0047773122787476
Iter 4810, task mwe, loss 1.0346750020980835
Iter 4820, task mwe, loss 1.0014218091964722
Iter 4830, task mwe, loss 1.062127709388733
Iter 4840, task mwe, loss 0.9576722979545593
Iter 4850, task mwe, loss 1.0389829874038696
Iter 4860, task mwe, loss 1.0086374282836914
Iter 4870, task mwe, loss 1.0575987100601196
Iter 4880, task mwe, loss 1.0172370672225952
Iter 4890, task mwe, loss 0.9849451184272766
Iter 4900, task mwe, loss 0.9991178512573242
Iter 4910, task mwe, loss 0.9822376370429993
Iter 4920, task mwe, loss 1.016456127166748
Iter 4930, task mwe, loss 1.019280195236206
Iter 4940, task mwe, loss 0.9943504333496094
Iter 4950, task mwe, loss 1.0141723155975342
Iter 4960, task mwe, loss 1.0231984853744507
Iter 4970, task mwe, loss 0.9368752241134644
Iter 4980, task mwe, loss 1.0033808946609497
Iter 4990, task mwe, loss 0.9725766181945801
Iter 5000, task mwe, loss 0.9606138467788696
Iter 5010, task mwe, loss 1.0098097324371338
Iter 5020, task mwe, loss 0.9828593134880066
Iter 5030, task mwe, loss 0.995999813079834
Iter 5040, task mwe, loss 0.9704830050468445
Iter 5050, task mwe, loss 0.9991553425788879
Iter 5060, task mwe, loss 0.9663362503051758
Iter 5070, task mwe, loss 1.0009461641311646
Iter 5080, task mwe, loss 0.9677025079727173
Iter 5090, task mwe, loss 1.0151879787445068
Iter 5100, task mwe, loss 0.9988316297531128
Iter 5110, task mwe, loss 0.9847719073295593
Iter 5120, task mwe, loss 1.0019906759262085
Iter 5130, task mwe, loss 0.9579006433486938
Iter 5140, task mwe, loss 0.9838569760322571
Iter 5150, task mwe, loss 0.9616307020187378
Iter 5160, task mwe, loss 0.9569474458694458
Iter 5170, task mwe, loss 0.9945868253707886
Iter 5180, task mwe, loss 0.9601700901985168
Iter 5190, task mwe, loss 0.9545515179634094
Iter 5200, task mwe, loss 0.9667648077011108
Iter 5210, task mwe, loss 0.9349459409713745
Iter 5220, task mwe, loss 0.9423577189445496
Iter 5230, task mwe, loss 1.0263309478759766
Iter 5240, task mwe, loss 0.9825220108032227
Iter 5250, task mwe, loss 0.9165942072868347
Iter 5260, task mwe, loss 0.9889674186706543
Iter 5270, task mwe, loss 0.960976243019104
Iter 5280, task mwe, loss 0.9558804631233215
Iter 5290, task mwe, loss 0.9542702436447144
Iter 5300, task mwe, loss 0.9896190762519836
Iter 5310, task mwe, loss 0.9764614105224609
Iter 5320, task mwe, loss 0.9619792699813843
Iter 5330, task mwe, loss 0.9719066619873047
Iter 5340, task mwe, loss 0.941562294960022
Iter 5350, task mwe, loss 0.9589930772781372
Iter 5360, task mwe, loss 0.9664355516433716
Iter 5370, task mwe, loss 0.9552608728408813
Iter 5380, task mwe, loss 0.9417570233345032
Iter 5390, task mwe, loss 0.9748735427856445
Iter 5400, task mwe, loss 0.9579542875289917
Iter 5410, task mwe, loss 0.929266631603241
Iter 5420, task mwe, loss 0.9218740463256836
Iter 5430, task mwe, loss 0.9642397165298462
Iter 5440, task mwe, loss 0.9597336649894714
Iter 5450, task mwe, loss 0.9777706265449524
Iter 5460, task mwe, loss 0.9451171159744263
Iter 5470, task mwe, loss 0.9154450297355652
Iter 5480, task mwe, loss 0.9448772668838501
Iter 5490, task mwe, loss 0.9598164558410645
Iter 5500, task mwe, loss 0.9377449154853821
Iter 5510, task mwe, loss 0.9421084523200989
Iter 5520, task mwe, loss 0.9257125854492188
Iter 5530, task mwe, loss 0.9584982991218567
Iter 5540, task mwe, loss 0.9000682830810547
Iter 5550, task mwe, loss 0.9627186059951782
Iter 5560, task mwe, loss 0.9460218548774719
Iter 5570, task mwe, loss 0.9433965682983398
Iter 5580, task mwe, loss 0.904129147529602
Iter 5590, task mwe, loss 0.9294325709342957
Iter 5600, task mwe, loss 0.9286972284317017
Iter 5610, task mwe, loss 0.927796483039856
Iter 5620, task mwe, loss 0.8897129893302917
Iter 5630, task mwe, loss 0.9183659553527832
Iter 5640, task mwe, loss 0.9370570182800293
Iter 5650, task mwe, loss 0.9468415379524231
Iter 5660, task mwe, loss 0.9413740038871765
Iter 5670, task mwe, loss 0.9146501421928406
Iter 5680, task mwe, loss 0.9535932540893555
Iter 5690, task mwe, loss 0.9506141543388367
Iter 5700, task mwe, loss 0.9193941354751587
Iter 5710, task mwe, loss 0.9113730192184448
Iter 5720, task mwe, loss 0.9180988073348999
Iter 5730, task mwe, loss 0.8612082600593567
Iter 5740, task mwe, loss 0.9395459890365601
Iter 5750, task mwe, loss 0.9171814918518066
Iter 5760, task mwe, loss 0.929704487323761
Iter 5770, task mwe, loss 0.9176744222640991
Iter 5780, task mwe, loss 0.9236687421798706
Iter 5790, task mwe, loss 0.9228408932685852
Iter 5800, task mwe, loss 0.9157493710517883
Iter 5810, task mwe, loss 0.9339631795883179
