Iter 10900, task fnt, loss 0.6917737895442594, acc 0.78584, f1 0.40505, p 0.59261, r 0.30768
Iter 10900, task mwe, loss 0.615008552869161, acc 0.83051, f1 0.08416, p 0.51515, r 0.04582
Iter 11000, task fnt, loss 0.6900037632834527, acc 0.78599, f1 0.39971, p 0.59594, r 0.30070
Iter 11000, task mwe, loss 0.6120288968086243, acc 0.83066, f1 0.08119, p 0.52128, r 0.04403
Iter 11100, task fnt, loss 0.6855134137215153, acc 0.78780, f1 0.42163, p 0.59523, r 0.32643
Iter 11100, task mwe, loss 0.6079429030418396, acc 0.83051, f1 0.09143, p 0.50000, r 0.05031
Iter 11200, task fnt, loss 0.6826537991723707, acc 0.78692, f1 0.41052, p 0.59585, r 0.31313
Iter 11200, task mwe, loss 0.6047979791959127, acc 0.83051, f1 0.09871, p 0.49593, r 0.05481
Iter 11300, task fnt, loss 0.6790875629071267, acc 0.78795, f1 0.42132, p 0.59617, r 0.32577
Iter 11300, task mwe, loss 0.6017618775367737, acc 0.83081, f1 0.09601, p 0.50862, r 0.05301
Iter 11400, task fnt, loss 0.6780314320518125, acc 0.78697, f1 0.40821, p 0.59723, r 0.31007
Iter 11400, task mwe, loss 0.5986173351605734, acc 0.83020, f1 0.09562, p 0.48760, r 0.05301
Iter 11500, task fnt, loss 0.673572926752029, acc 0.78836, f1 0.43363, p 0.59259, r 0.34191
Iter 11500, task mwe, loss 0.5958135485649109, acc 0.83081, f1 0.09016, p 0.51402, r 0.04942
Iter 11600, task fnt, loss 0.6704342057628017, acc 0.78738, f1 0.44459, p 0.58342, r 0.35914
Iter 11600, task mwe, loss 0.5922052025794983, acc 0.83081, f1 0.09165, p 0.51376, r 0.05031
Iter 11700, task fnt, loss 0.6712770000580819, acc 0.78687, f1 0.40399, p 0.59872, r 0.30484
Iter 11700, task mwe, loss 0.5886435468991598, acc 0.83112, f1 0.10331, p 0.50794, r 0.05750
Iter 11800, task fnt, loss 0.6678969331326023, acc 0.78692, f1 0.41069, p 0.59577, r 0.31334
Iter 11800, task mwe, loss 0.5858375986417135, acc 0.83127, f1 0.10763, p 0.50758, r 0.06020
Iter 11900, task fnt, loss 0.6626013228970189, acc 0.78852, f1 0.44592, p 0.58800, r 0.35914
Iter 11900, task mwe, loss 0.5827371617158253, acc 0.83112, f1 0.10339, p 0.51200, r 0.05750
Iter 12000, task fnt, loss 0.6611444142556959, acc 0.78821, f1 0.42695, p 0.59486, r 0.33297
Iter 12000, task mwe, loss 0.5800544043382009, acc 0.83127, f1 0.10348, p 0.51613, r 0.05750
Iter 12100, task fnt, loss 0.6574178828347114, acc 0.78821, f1 0.44375, p 0.58750, r 0.35652
Iter 12100, task mwe, loss 0.5774976392587026, acc 0.83142, f1 0.09329, p 0.52294, r 0.05121
Iter 12200, task fnt, loss 0.6560955028380117, acc 0.78877, f1 0.43846, p 0.59243, r 0.34802
Iter 12200, task mwe, loss 0.5726885139942169, acc 0.83142, f1 0.11342, p 0.51079, r 0.06379
Iter 12300, task fnt, loss 0.6540933703222582, acc 0.78821, f1 0.42976, p 0.59332, r 0.33689
Iter 12300, task mwe, loss 0.5698700785636902, acc 0.83173, f1 0.10798, p 0.52344, r 0.06020
Iter 12400, task fnt, loss 0.6544572537945162, acc 0.78744, f1 0.40526, p 0.60094, r 0.30571
