Iter 23500, task hyperlinks, loss 0.6624575257301331, acc 0.81784, f1 0.41892, p 0.46687, r 0.37990
Iter 23600, task hyperlinks, loss 0.6670956015586853, acc 0.81826, f1 0.41949, p 0.46828, r 0.37990
Iter 23700, task hyperlinks, loss 0.6724991599718729, acc 0.82122, f1 0.40395, p 0.47667, r 0.35049
Iter 23800, task hyperlinks, loss 0.673878014087677, acc 0.81572, f1 0.40000, p 0.45741, r 0.35539
Iter 23900, task hyperlinks, loss 0.6751054922739664, acc 0.80431, f1 0.42105, p 0.43077, r 0.41176
Iter 24000, task hyperlinks, loss 0.6937293807665507, acc 0.82418, f1 0.39592, p 0.48746, r 0.33333
Iter 24100, task hyperlinks, loss 0.6861526370048523, acc 0.80727, f1 0.40986, p 0.43526, r 0.38725
Iter 24200, task hyperlinks, loss 0.6875464121500651, acc 0.81826, f1 0.40990, p 0.46708, r 0.36520
Iter 24300, task hyperlinks, loss 0.6917452812194824, acc 0.80473, f1 0.41124, p 0.42933, r 0.39461
Iter 24400, task hyperlinks, loss 0.6873708168665568, acc 0.81657, f1 0.41407, p 0.46224, r 0.37500
Iter 24500, task hyperlinks, loss 0.6941182216008505, acc 0.81361, f1 0.41019, p 0.45266, r 0.37500
Iter 24600, task hyperlinks, loss 0.6955270568529764, acc 0.81319, f1 0.40964, p 0.45133, r 0.37500
